fecha|modeloAvion|lugarAccidente|fallecidosTotales
Jun 4, 1958|Douglas C-53 Skytrooper (DC-3)|Martinsburg-Eastern West Virginia-Shepherd Field, West Virginia|1
Jun 2, 1958|Lockheed L-749 Constellation|Guadalajara, Jalisco|45
May 25, 1958|Morane-Saulnier M.S.760 Paris|Lisbon, Estremadura - Lisbon District|0
May 20, 1958|Vickers Viscount|Brunswick, Maryland|11
May 20, 1958|Avro 685 York|Luqa, All Malta|0
May 18, 1958|Douglas DC-7|Casablanca-Nouasseur (Mohammed V), Grand Casablanca|65
May 15, 1958|Convair CV-240|New Delhi-Palam, National Capital Territory of Delhi|23
May 12, 1958|Vickers Valetta|Singapore-Changi, All Singapore|0
May 10, 1958|Boeing 307 Stratoliner|Madras, Oregon|0
May 5, 1958|Miles M.60 Marathon|Topcliffe AFB, North Yorkshire|0
Apr 30, 1958|Douglas C-54 Skymaster|In Salah, Tamanrasset|0
Apr 28, 1958|Vickers Viscount|Craigie, Ayrshire|0
Apr 21, 1958|Douglas DC-7|Las Vegas, Nevada|47
Apr 14, 1958|De Havilland DH.114 Heron|Barcelona, Catalonia|16
Apr 7, 1958|Douglas C-47 Skytrain (DC-3)|Mt Illiniza (24 Mayo), Cotopaxi|32
Mar 27, 1958|Douglas C-124 Globemaster II|Bridgeport-Igor I. Sikorsky Memorial, Texas|15
Mar 27, 1958|Fairchild C-119 Flying Boxcar|Bridgeport-Igor I. Sikorsky Memorial, Texas|3
Mar 24, 1958|Douglas C-47 Skytrain (DC-3)|Kathmandu, Bagmati|20
Mar 22, 1958|Douglas DC-3|Bacolod, Negros Occidental|0
Mar 17, 1958|Martin 404|Melbourne, Florida|0
Mar 13, 1958|Beechcraft AT-11 Kansan|Santos, São Paulo|6
Mar 7, 1958|Fairchild C-119 Flying Boxcar|Naha, Okinawa|26
Mar 1, 1958|Convair CV-240|New Haven, Connecticut|0
Feb 27, 1958|Bristol 170 Freighter|Winter Hill, Lancashire|35
Feb 19, 1958|De Havilland DH.114 Heron|Castrovillari, Calabria|3
Feb 19, 1958|Consolidated PBY Catalina|Raiatea Island, Windward Islands|15
Feb 16, 1958|Lisunov LI-2|Mirny Ice Station (Queen Mary Land), All Antarctica|0
Feb 15, 1958|Lisunov LI-2|Mirny Ice Station (Queen Mary Land), All Antarctica|0
Feb 13, 1958|Convair CV-240|Palm Springs, California|0
Feb 5, 1958|Consolidated B-24 Liberator|Palakkad, Kerala|10
Feb 1, 1958|Lockheed P-2 Neptune|Norwalk, California|6
Feb 1, 1958|Douglas C-118 Liftmaster|Norwalk, California|42
Jan 31, 1958|Noorduyn Norseman|Chesterfield Inlet, Nunavut|0
Jan 31, 1958|Douglas A-26 Invader|Old Dad Mountains, California|2
Jan 14, 1958|Lockheed L-1049 Super Constellation|Patuxent River NAS, Maryland|9
Jan 10, 1958|Avro 696 Shackleton|Kinloss, Moray (Elginshire)|2
Jan 8, 1958|Douglas DC-3|Poitiers, Vienne|0
Jan 3, 1958|Douglas DC-3|Porto Alegre-Salgado Filho, Rio Grande do Sul|0
Dec 31, 1957|Short S.25 Sandringham|Buenos Aires, Buenos Aires City|9
Dec 23, 1957|Lockheed L-1049 Super Constellation|Kahuku (Oahu Island), Hawaii|19
Dec 23, 1957|Avro 685 York|Stansted, Essex|4
Dec 20, 1957|Noorduyn Norseman|Ball Lake, Ontario|3
Dec 17, 1957|Douglas C-47 Skytrain (DC-3)|Wiesbaden-Erbenheim AFB, Hesse|5
Dec 16, 1957|De Havilland DH.104 Dove|Leavesden, Hertfordshire|0
Dec 12, 1957|Boeing B-52 Stratofortress|Fairchild AFB (Spokane), Washington|8
Dec 11, 1957|De Havilland DHC-3 Otter|Ozamis City, Misamis Occidental|2
Dec 6, 1957|Lockheed L-1049 Super Constellation|Paris-Orly, Val-de-Marne|0
Nov 28, 1957|Douglas C-124 Globemaster II|Ankara-Esenboğa, Central Anatolia Region (İç Anadolu Bölgesi)|3
Nov 23, 1957|Douglas C-47 Skytrain (DC-3)|Gustavus, Alaska|4
Nov 22, 1957|Martin PBM Mariner|Middelharnis, South Holland|0
Nov 15, 1957|De Havilland DH.114 Heron|Palma de Mallorca, Balearic Islands|4
Nov 15, 1957|Boeing B-29 Superfortress|Talkeetna, Alaska|6
Nov 14, 1957|Martin 404|Massena, New York|0
Nov 4, 1957|Ilyushin II-14|Moscow-Vnukovo, Moscow oblast|4
Nov 3, 1957|Douglas C-54 Skymaster|Düsseldorf-Lohausen, North Rhine-Westphalia|7
Oct 29, 1957|Boeing KC-97 Stratotanker|Gray Mountain, Arizona|16
Oct 27, 1957|Ilyushin II-12|SP-7 Polar Station, All Russia|1
Oct 21, 1957|Handley Page H.P.67 Hastings|Colerne AFB, Wiltshire|0
Oct 20, 1957|Vickers Viscount|Johannesburg-Oliver Reginald Tambo (Jan Smuts), Gauteng|0
Oct 20, 1957|Lockheed 18 LodeStar|Bideford, Greater Wellington Regional Council|2
Oct 18, 1957|Douglas C-47 Skytrain (DC-3)|Porto Alegre-Salgado Filho, Rio Grande do Sul|3
Oct 11, 1957|Beechcraft C-45 Expeditor|Tanauan, Leyte|6
Oct 7, 1957|Dassault M.D.315 Flamant|Cannes, Alpes-Maritimes|5
Oct 6, 1957|Lockheed 18 LodeStar|Uniontown, Pennsylvania|6
Oct 3, 1957|Antonov AN-2|Russia, All Russia|0
Oct 1, 1957|Ilyushin II-12|Aksha, Zabaykalsky Krai|27
Sep 28, 1957|De Havilland DH.114 Heron|Port Ellen, Argyll|3
Sep 18, 1957|Convair CV-440 Metropolitan|Montevideo-Carrasco, Montevideo City District|1
Sep 15, 1957|Douglas C-53 Skytrooper (DC-3)|New Bedford, Massachusetts|12
Sep 13, 1957|Douglas DC-3|McMurdo Sound, All Antarctica|0
Sep 11, 1957|Bristol 170 Freighter|Tétouan, Tangier-Tétouan|0
Sep 6, 1957|Percival P.66 Pembroke|Baghdad, Baghdād (بغداد)|0
Sep 4, 1957|Douglas C-124 Globemaster II|Binghamton, New York|0
Sep 1, 1957|Douglas C-47 Skytrain (DC-3)|Calcutta-Dum Dum, West Bengal|4
Sep 1, 1957|Handley Page H.P.81 Hermes|Calcutta-Dum Dum, West Bengal|0
Aug 31, 1957|Douglas C-124 Globemaster II|Biggs AAF (El Paso), Texas|5
Aug 30, 1957|Ilyushin II-14|Lviv, Lviv Oblast|7
Aug 22, 1957|Grumman HU-16 (SA-16) Albatross|Floyd Bennett Field, New York|4
Aug 17, 1957|Ilyushin II-14|Kiev-Zhuliany-Igor Sikorsky, Kiev oblast|8
Aug 17, 1957|Ilyushin II-14|Kiev-Zhuliany-Igor Sikorsky, Kiev oblast|7
Aug 15, 1957|Ilyushin II-14|Copenhagen, Hovedstaden|23
Aug 14, 1957|Avro 652 Anson|Titsey Hill, Surrey|2
Aug 7, 1957|Ilyushin II-12|Magdagachi, Amur oblast|1
Jul 13, 1957|Noorduyn Norseman|Culotte Lake, Quebec|1
Jul 10, 1957|Lockheed 18 LodeStar|King Salmon, Alaska|6
Jul 6, 1957|Tupolev TU-4|Ivanovo-Severny, Ivanovo oblast|10
Jul 3, 1957|Lisunov LI-2|Mt Strizhament, Stavropol Krai|8
Jun 22, 1957|Douglas C-47 Skytrain (DC-3)|Clarksburg, Maryland|3
Jun 19, 1957|Douglas C-47 Skytrain (DC-3)|Romanshorn, Thurgau|9
Jun 19, 1957|Nord 2501 Noratlas|Blida, Blida|6
Jun 14, 1957|Ilyushin II-14|Moscow-Vnukovo, Moscow oblast|9
Jun 4, 1957|De Havilland DHC-2 Beaver|Santo Domingo, Antioquia|2
May 13, 1957|Douglas C-54 Skymaster|Greenland, All Greenland|2
May 13, 1957|Vickers Viking|San Carlos de Bariloche, Río Negro|16
May 9, 1957|Bristol 170 Freighter|Madrid-Barajas, Madrid|37
May 5, 1957|Antonov AN-2|Tanyurer, Chukotka okrug|0
Apr 26, 1957|Ilyushin II-14|Varna, Varna|6
Apr 26, 1957|De Havilland Australia DHA-3 Drover|Camooweal, Queensland|0
Apr 22, 1957|Fairchild C-119 Flying Boxcar|Ashiya AFB, Kyūshū|4
Apr 18, 1957|Douglas DC-4|Pittsburgh-Intl, Pennsylvania|0
Apr 11, 1957|Canadian Vickers PBV-1 Canso (OA-10 Canso)|Manicouagan, Quebec|2
Apr 2, 1957|Douglas C-124 Globemaster II|Cambridge Bay, Nunavut|0
Mar 13, 1957|Douglas C-47 Skytrain (DC-3)|New Delhi-Safdarjung, National Capital Territory of Delhi|5
Mar 10, 1957|Martin 404|Louisville, Kentucky|0
Mar 9, 1957|Douglas C-47 Skytrain (DC-3)|Tuluá, Valle del Cauca|15
Mar 5, 1957|Blackburn B-101 Beverley|Abingdon AFB, Oxfordshire|20
Mar 2, 1957|Douglas C-54 Skymaster|Blyn, Washington|5
Feb 12, 1957|Antonov AN-2|Gubistaya, Arkhangelsk oblast|1
Feb 2, 1957|Boeing B-29 Superfortress|Morigny, Manche|4
Feb 2, 1957|Boeing B-29 Superfortress|Morigny, Manche|9
Feb 1, 1957|Douglas DC-6|New York-LaGuardia, New York|20
Jan 31, 1957|Douglas DC-7|Sunland, California|7
Jan 30, 1957|De Havilland DHC-2 Beaver|Fort Devens AFB, Massachusetts|1
Jan 29, 1957|SNCASE SE.2010 Armagnac|Paris-Orly, Val-de-Marne|2
Jan 23, 1957|Percival P.66 Pembroke|Ad Dali' (Dhala), Ad Dali' (الضالع)|0
Jan 22, 1957|Boeing KC-97 Stratotanker|Mt Big Shanty, New York|7
Jan 22, 1957|Douglas C-47 Skytrain (DC-3)|Núria, Catalonia|9
Jan 19, 1957|Douglas DC-3|New York-Idlewild, New York|1
Jan 11, 1957|Vickers Viking|Buenos Aires-Aeroparque-Jorge Newbery, Buenos Aires City|15
Jan 10, 1957|Boeing B-29 Superfortress|Austin-Bergstrom, Texas|6
Jan 6, 1957|Convair CV-240|Tulsa, Oklahoma|1
Dec 31, 1956|Lockheed C-121 Super Constellation|Dhahran, ash-Sharqīyah (الشرقية‎)|12
Dec 22, 1956|Douglas C-47 Skytrain (DC-3)|Mt Giner, Trentino-Alto Adige / Südtirol|21
Dec 16, 1956|Curtiss C-46 Commando|Long Beach, California|0
Dec 9, 1956|Lisunov LI-2|Mt Gora Ioanna, Chukotka okrug|12
Dec 7, 1956|Avro 696 Shackleton|Foolow, Derbyshire|4
Dec 5, 1956|De Havilland DHC-2 Beaver|Glossop, Derbyshire|2
Nov 30, 1956|Boeing B-52 Stratofortress|Castle AFB, California|10
Nov 27, 1956|Lockheed L-749 Constellation|Mt Naiguatá, Miranda|25
Nov 23, 1956|Vickers Valetta|Cameron Highlands, Pahang|7
Nov 18, 1956|Ilyushin II-14|Irkutsk-Intl, Irkutsk oblast|1
Nov 17, 1956|Douglas C-49 (DC-3)|Mt El Rucio, Huíla|36
Nov 5, 1956|Handley Page H.P.81 Hermes|Blackbushe, Hampshire|7
Nov 1, 1956|Short S.25 Sunderland|Richards Bay, KwaZulu-Natal|2
Oct 30, 1956|Short S.25 Sunderland|Castle Archdale AFB (Lisnarick), Fermanagh|0
Oct 26, 1956|Fairchild C-119 Flying Boxcar|Newburg, Pennsylvania|4
Oct 20, 1956|Lockheed 18 LodeStar|Tallahassee, Florida|0
Oct 19, 1956|Douglas DC-3|Agartala, Tripura|3
Oct 5, 1956|Avro 652 Anson|Mt Le Grammont, Valais|2
Oct 5, 1956|Vickers Viking|Harare, Harare Province|2
Oct 3, 1956|Douglas C-124 Globemaster II|Charleston-Intl, South Carolina|3
Sep 29, 1956|SNCASE SE.161 Languedoc|Tenerife-Norte-Los Rodeos, Canary Islands|1
Sep 24, 1956|Douglas C-47 Skytrain (DC-3)|Mt Yale, Colorado|12
Sep 18, 1956|De Havilland DH.89 Dragon Rapide|Mouangko, Littoral|1
Sep 17, 1956|Lockheed L-1049 Super Constellation|Pacific Ocean, All World|0
Sep 16, 1956|Antonov AN-2|Botyobiya, Republic of Yakutia (Sakha)|1
Sep 10, 1956|Avro 652 Anson|Gibraltar, All United Kingdom|0
Sep 8, 1956|Ilyushin II-12|Dikson, Krasnoyarsk Krai|0
Aug 29, 1956|Douglas DC-6|Cold Bay, Alaska|15
Aug 26, 1956|Consolidated PB4Y-2 Privateer|Sand Point NAS, Washington|0
Aug 20, 1956|Antonov AN-2|Gizhiga, Magadan oblast|3
Aug 16, 1956|Douglas C-124 Globemaster II|Cockburn Town (San Salvador Island), San Salvador|1
Aug 5, 1956|Handley Page H.P.81 Hermes|Faisal AFB (Mehran NAS) (ex RAF Drigh Road) (Karachi), Sindh (سنڌ سندھ)|0
Jul 20, 1956|Antonov AN-2|Mt Hadaraniya, Republic of Yakutia (Sakha)|4
Jul 16, 1956|Douglas C-47 Skytrain (DC-3)|Pavín, Córdoba|18
Jul 15, 1956|Convair CV-440 Metropolitan|Shannon, Munster|4
Jun 30, 1956|Douglas DC-7|Grand Canyon, Arizona|58
Jun 30, 1956|Lockheed L-1049 Super Constellation|Grand Canyon, Arizona|70
Jun 16, 1956|Douglas C-124 Globemaster II|Enewetak Atoll, All Marshall Islands|0
Jun 15, 1956|Vickers Valetta|Ipoh, Perak|9
May 18, 1956|Douglas C-47 Skytrain (DC-3)|Ahmedabad, Gujarat|0
May 15, 1956|Douglas C-47 Skytrain (DC-3)|Kathmandu, Bagmati|15
May 7, 1956|Avro 694 Lincoln|Thorney Island AFB, West Sussex|0
Apr 30, 1956|Avro 685 York|Stansted, Essex|2
Apr 27, 1956|Airspeed AS.10 Oxford|Exeter, Devon|0
Apr 9, 1956|Rockwell Aero Commander 520|Skilak Lake, Alaska|6
Apr 7, 1956|Douglas C-124 Globemaster II|Travis AFB, California|3
Apr 2, 1956|Boeing 377 Stratocruiser|Seattle, Washington|5
Apr 1, 1956|Martin 404|Pittsburgh-Intl, Pennsylvania|22
Mar 28, 1956|Douglas C-47 Skytrain (DC-3)|Largs, Ayrshire|1
Mar 23, 1956|Antonov AN-2|Voyampolka, Kamchatka Krai|1
Mar 21, 1956|Douglas C-47 Skytrain (DC-3)|Tezpur, Assam|2
Mar 18, 1956|Curtiss C-46 Commando|Pelly Bay, Nunavut|0
Mar 16, 1956|Vickers Varsity|Thorney Island AFB, West Sussex|0
Mar 2, 1956|Vickers Valetta|Cameron Highlands, Pahang|7
Feb 25, 1956|Douglas C-47 Skytrain (DC-3)|Mt Lash Golath, Gilgit–Baltistan (گلگت – بلتستان)|3
Feb 20, 1956|Douglas DC-6|Cairo, Cairo|52
Feb 17, 1956|Martin 404|Owensboro, Kentucky|0
Feb 17, 1956|Douglas C-54 Skymaster|Mt Sunol Ridge, California|40
Feb 14, 1956|Douglas C-47 Skytrain (DC-3)|Kuujjuaq (ex Fort Chimo), Quebec|2
Jan 28, 1956|Douglas C-47 Skytrain (DC-3)|Lyon-Bron, Rhône|3
Jan 26, 1956|Lockheed PV-1 Ventura|Smithtown, New York|3
Jan 20, 1956|Vickers Viscount|Blackbushe, Hampshire|0
Jan 18, 1956|Douglas C-47 Skytrain (DC-3)|Torysky, Prešov Region|22
Jan 12, 1956|Douglas C-47 Skytrain (DC-3)|Hobart, Tasmania|1
Dec 30, 1955|De Havilland Australia DHA-3 Drover|Fiji Islands, All Fiji Islands|0
Dec 22, 1955|Douglas C-47 Skytrain (DC-3)|Düsseldorf-Lohausen, North Rhine-Westphalia|3
Dec 21, 1955|Lockheed L-749 Constellation|Jacksonville, Florida|17
Dec 17, 1955|Curtiss C-46 Commando|Hollywood, South Carolina|2
Dec 9, 1955|De Havilland DH.104 Dove|London-Heathrow, London Metropolis|0
Nov 24, 1955|Canadian Vickers PBV-1 Canso (OA-10 Canso)|Johnstone Strait, British Columbia|3
Nov 17, 1955|Douglas C-54 Skymaster|Seattle-Boeing Field, Washington|28
Nov 17, 1955|Douglas C-54 Skymaster|Mt Charleston, Nevada|14
Oct 29, 1955|De Havilland DH.84 Dragon|Madang, Madang|0
Oct 23, 1955|Noorduyn Norseman|San Antonio de los Cobres, Salta|1
Oct 11, 1955|Convair CV-340|Vienna, Vienna|7
Oct 6, 1955|Douglas DC-4|Medicine Bow Peak, Wyoming|66
Oct 3, 1955|Vickers Valetta|Nicosia, Nicosia|0
Sep 29, 1955|Avro 685 York|Thoa River, Northwest Territories|1
Sep 23, 1955|Douglas C-54 Skymaster|Pacific Ocean, All World|3
Sep 23, 1955|SNCAC NC.701/702 Martinet|Plancher-les-Mines, Haute-Saône|3
Sep 22, 1955|Canadair C-4 North Star|Tripoli, Tripoli (طرابلس)|15
Sep 14, 1955|Avro 685 York|Al Seeba, Al-Basrah (البصرة)|0
Sep 13, 1955|Handley Page H.P.67 Hastings|Dishforth AFB, North Yorkshire|5
Sep 5, 1955|Boeing B-17 Flying Fortress|Cochabamba, Cochabamba|3
Sep 2, 1955|Douglas C-47 Skytrain (DC-3)|Mt Popa, Mandalay Region|12
Aug 30, 1955|Douglas C-47 Skytrain (DC-3)|Simara, Narayani|2
Aug 26, 1955|Douglas DC-3|Mt Forno Grande, Espírito Santo|13
Aug 19, 1955|Douglas C-47 Skytrain (DC-3)|Hawthorne, Nevada|7
Aug 11, 1955|Fairchild C-119 Flying Boxcar|Edelweiler, Baden-Württemberg|46
Aug 11, 1955|Fairchild C-119 Flying Boxcar|Edelweiler, Baden-Württemberg|20
Aug 4, 1955|Convair CV-240|Fort Leonard Wood, Missouri|30
Jul 28, 1955|Avro 652 Anson|Nachrodt-Wiblingwerde, North Rhine-Westphalia|5
Jul 26, 1955|Handley Page H.P.67 Hastings|Abingdon AFB, Oxfordshire|0
Jul 24, 1955|Antonov AN-2|Birobidzhan, Evreyskaya oblast (Jewish Autonomous oblast)|4
Jul 17, 1955|Convair CV-340|Chicago-Midway, Illinois|22
Jul 14, 1955|Douglas DC-2|Oaxaca, Oaxaca|22
Jul 14, 1955|Avro 694 Lincoln|Upwood AFB, Cambridgeshire|0
Jul 11, 1955|Vickers Varsity|Thorney Island AFB, West Sussex|0
Jul 2, 1955|Ilyushin II-12|Nagurskoye (Franz Josef Archipelago), Arkhangelsk oblast|0
Jun 29, 1955|Douglas C-47 Skytrain (DC-3)|Sitkinak Island, Alaska|10
Jun 26, 1955|Avro 694 Lincoln|Bitburg AFB, Rhineland-Palatinate|6
Jun 25, 1955|Douglas C-47 Skytrain (DC-3)|Agra-Kheria (Pt. Deen Dayal Upadhyay), Uttar Pradesh|8
Jun 25, 1955|Douglas C-47 Skytrain (DC-3)|Agra-Kheria (Pt. Deen Dayal Upadhyay), Uttar Pradesh|11
Jun 16, 1955|Lockheed L-049 Constellation|Asunción, Distrito Capital|16
Jun 13, 1955|Airspeed AS.10 Oxford|Kleine-Brogel AFB, Limburg|0
Jun 10, 1955|Boeing B-29 Superfortress|Owen, Baden-Württemberg|10
Jun 4, 1955|Short S.25 Sunderland|Eastbourne, East Sussex|4
May 26, 1955|Avro 685 York|Edmonton, Alberta|2
May 20, 1955|Douglas C-47 Skytrain (DC-3)|Río Gallegos, Santa Cruz|0
May 20, 1955|Casa 352|Lérida, Catalonia|0
May 18, 1955|Douglas C-47 Skytrain (DC-3)|Mt Kilimanjaro, Kilimanjaro Region|20
May 16, 1955|Antonov AN-2|Chelyabinsk, Chelyabinsk oblast|8
Apr 28, 1955|Short SA.6 Sealand|Baliem, Special Region of Papua|1
Apr 28, 1955|Boeing B-29 Superfortress|Naha, Okinawa|10
Apr 27, 1955|Douglas C-124 Globemaster II|Frobisher Bay, Nunavut|0
Apr 26, 1955|Vickers Varsity|Vicq, Nord|5
Apr 18, 1955|Fairchild C-119 Flying Boxcar|Ghisonaccia, Haute-Corse|0
Apr 18, 1955|De Havilland DH.114 Heron|Mt Koupé, Southwest|12
Apr 9, 1955|Avro 694 Lincoln|Mt Superbus, Queensland|6
Apr 9, 1955|Martin P5M-2 Marlin|Norfolk, Virginia|4
Apr 5, 1955|Avro 652 Anson|Wildenrath AFB, North Rhine-Westphalia|2
Apr 4, 1955|Douglas DC-6|Ronkonkoma-Long Island-McArthur Field, New York|3
Apr 3, 1955|Curtiss C-46 Commando|Vitória-Goiabeiras, Espírito Santo|3
Mar 29, 1955|Douglas C-47 Skytrain (DC-3)|Khowai, Tripura|0
Mar 22, 1955|Douglas DC-6|Mt Waianae, Hawaii|66
Mar 20, 1955|Convair CV-240|Springfield, Missouri|13
Mar 13, 1955|Avro 652 Anson|Corowa, New South Wales|0
Mar 9, 1955|North American B-25 Mitchell|Mt Timpanogos, Utah|5
Mar 6, 1955|Douglas C-53 Skytrooper (DC-3)|Vitória da Conquista, Bahia|5
Mar 6, 1955|Douglas C-54 Skymaster|Taitung, Taitung County (臺東縣)|14
Mar 4, 1955|Ilyushin II-12|Kepino, Arkhangelsk oblast|5
Mar 3, 1955|Fairchild C-119 Flying Boxcar|Hagerstown, Maryland|0
Mar 2, 1955|Handley Page H.P.67 Hastings|Boscombe Down AFB, Wiltshire|2
Feb 19, 1955|Martin 404|Albuquerque, New Mexico|16
Feb 19, 1955|Avro 694 Lincoln|Githunguri, Central|10
Feb 17, 1955|De Havilland DH.104 Dove|Mt Shingle Slip Knob, Greater Wellington Regional Council|2
Feb 17, 1955|Lockheed P-2 Neptune|Elmendorf-Richardson AFB (JBER), Alaska|11
Feb 13, 1955|Douglas DC-6|Mt Costone dell'Acquasanta, Lazio|29
Feb 8, 1955|Convair B-36 Peacemaker|Carswell AFB (Fort Worth), Texas|0
Feb 2, 1955|Douglas C-47 Skytrain (DC-3)|Nagpur, Maharashtra|10
Jan 23, 1955|Lisunov LI-2|Lipovets, Vinnytsia Oblast|3
Jan 22, 1955|Curtiss C-46 Commando|Chattanooga, Tennessee|0
Jan 21, 1955|Douglas C-47 Skytrain (DC-3)|Guwahati, Assam|3
Jan 19, 1955|Convair CV-340|Dexter, Iowa|0
Jan 12, 1955|Martin 202|Cincinnati, Kentucky|13
Jan 12, 1955|Douglas C-47 Skytrain (DC-3)|Cincinnati, Kentucky|2
Jan 11, 1955|Avro 696 Shackleton|Celtic Sea, All World|9
Jan 10, 1955|Lockheed 18 LodeStar|Saint Petersburg, Florida|0
Dec 31, 1954|Douglas C-47 Skytrain (DC-3)|SP-3 Polar Station, All Antarctica|0
Dec 25, 1954|Boeing 377 Stratocruiser|Prestwick, Ayrshire|28
Dec 18, 1954|Douglas DC-6|New York-Idlewild, New York|26
Dec 18, 1954|Lockheed 18 LodeStar|White Plains-Westchester County, New York|2
Dec 17, 1954|Lockheed L-1049 Super Constellation|Brampton, Ontario|0
Dec 12, 1954|Douglas C-47 Skytrain (DC-3)|Pezinok, Bratislava Region|4
Dec 9, 1954|Lockheed L-1049 Super Constellation|Johnsville NAS, Pennsylvania|0
Dec 2, 1954|Douglas DC-2|Villa Harding Green, Buenos Aires province|0
Nov 30, 1954|Douglas DC-3|Berlin, New Hampshire|2
Nov 25, 1954|Douglas C-47 Skytrain (DC-3)|Jambi, Jambi|0
Nov 20, 1954|Lockheed PV-1 Ventura|Waynesboro, Virginia|5
Nov 16, 1954|Douglas DC-3|Mt Jirishanca, Ancash|24
Nov 12, 1954|Lisunov LI-2|Sverdlovsk-Koltsovo, Sverdlovsk oblast|6
Nov 6, 1954|Lockheed P-2 Harpoon|Vaccarizzo, Sicily|4
Nov 6, 1954|Lockheed P-2 Harpoon|Vaccarizzo, Sicily|5
Oct 31, 1954|Vickers Viscount|Mangalore, Victoria|3
Oct 28, 1954|Ilyushin II-12|Krasnoyarsk, Krasnoyarsk Krai|19
Oct 26, 1954|Avro 694 Lincoln|San Luis, San Luis|10
Oct 26, 1954|Avro 696 Shackleton|Ballykelly AFB, Londonderry|0
Oct 24, 1954|Douglas C-47 Skytrain (DC-3)|Limone Piemonte, Piedmont|21
Oct 21, 1954|Douglas DC-3|Rio de Janeiro-Santos Dumont, Rio de Janeiro|0
Oct 20, 1954|Douglas C-47 Skytrain (DC-3)|Hua Hin, Prachuap Khiri Khan (ประจวบคีรีขันธ์)|7
Oct 16, 1954|Convair CV-240|Capilla del Señor, Buenos Aires province|0
Oct 2, 1954|De Havilland DHC-2 Beaver|Fox Mountain, Yukon|4
Sep 27, 1954|Ilyushin II-12|Novosibirsk-Severny, Novosibirsk oblast|29
Sep 15, 1954|Vickers Viking|Cairo-Almaza, Cairo|3
Sep 12, 1954|Douglas C-47 Skytrain (DC-3)|Rio de Janeiro-Santos Dumont, Rio de Janeiro|6
Sep 5, 1954|Lockheed L-1049 Super Constellation|Shannon, Munster|28
Aug 26, 1954|Lisunov LI-2|Yuzhno-Sakhalinsk, Sakhalin oblast|26
Aug 15, 1954|Vickers Viking|Blackbushe, Hampshire|0
Aug 9, 1954|Lockheed L-749 Constellation|Lajes, Azores Islands|30
Jul 29, 1954|Fiat G.212|Kuwait City, All Kuwait|0
Jun 27, 1954|Boeing KC-97 Stratotanker|Norton AFB (San Bernardino), California|14
Jun 21, 1954|Douglas C-47 Skytrain (DC-3)|Nairobi-Eastleigh (Moi Air Base), Nairobi City District|7
Jun 21, 1954|Short S.25 Sunderland|Flying Fish Cove, Christmas Island, Western Australia|0
Jun 9, 1954|Martin PBM Mariner|Yakushima Island, Kyūshū|17
Jun 4, 1954|Curtiss C-46 Commando|São Paulo-Congonhas, São Paulo|3
May 31, 1954|Douglas C-47 Skytrain (DC-3)|Mt Cipó, Minas Gerais|19
May 15, 1954|Douglas C-47 Skytrain (DC-3)|Saugaon, West Bengal|0
May 13, 1954|Vickers Varsity|Wigsley AFB, Nottinghamshire|0
May 8, 1954|Canadair C-4 North Star|North Luffenham AFB, Rutland|0
May 8, 1954|Antonov AN-2|Arctic, All World|0
May 6, 1954|Martin PBM Mariner|Caricitas, Tamaulipas|10
Apr 23, 1954|Douglas C-47 Skytrain (DC-3)|Amaná, La Rioja|25
Apr 20, 1954|Fairchild C-119 Flying Boxcar|Santa Clarita, California|7
Apr 17, 1954|Fairchild C-119 Flying Boxcar|Birmingham, Alabama|0
Apr 16, 1954|Consolidated PB4Y-2 Privateer|Grise Fiord, Nunavut|9
Apr 13, 1954|Avro 685 York|Luqa, All Malta|0
Apr 8, 1954|Canadair C-4 North Star|Moose Jaw, Saskatchewan|36
Apr 4, 1954|Douglas C-54 Skymaster|Hanoi-Gia Lâm, Hà Nội City District|4
Mar 28, 1954|Consolidated PBY Catalina|Bjørnøya Island, Svalbard|8
Mar 25, 1954|Vickers Varsity|Swinderby AFB, Lincolnshire|1
Mar 25, 1954|Douglas C-53 Skytrooper (DC-3)|Monterrey-Del Norte, Nuevo León|18
Mar 22, 1954|Avro 694 Lincoln|Mt Kinangop, Central|5
Mar 19, 1954|Fairchild C-119 Flying Boxcar|Lothian, Maryland|18
Mar 16, 1954|Convair CV-340|Midland, Texas|0
Mar 13, 1954|Lockheed L-749 Constellation|Singapore-Kallang, All Singapore|33
Mar 13, 1954|Vickers Varsity|Syerston AFB, Nottinghamshire|4
Mar 12, 1954|Junkers JU.52|Catamarca, Buenos Aires province|0
Mar 5, 1954|Douglas A-26 Invader|El Centro, California|2
Feb 26, 1954|Fairchild C-119 Flying Boxcar|Huntingdon, Tennessee|4
Feb 23, 1954|Vickers Valetta|Mt Gunung Ledang, Johor|4
Feb 21, 1954|Breda-Zappata B.Z.308|Mogadishu, Banaadir (بنادر‎)|0
Feb 18, 1954|Junkers JU.52|Zaghouan, Zaghouan Governorate (ولاية زغوان‎)|15
Feb 5, 1954|Avro 652 Anson|Hamble, Hampshire|0
Feb 5, 1954|Douglas A-26 Invader|Ashiya AFB, Kyūshū|4
Feb 1, 1954|Vickers Valetta|Mukeiras, Al Bayda'	(البيضاء)|0
Jan 31, 1954|Douglas C-47 Skytrain (DC-3)|Điện Biên Phủ, Điện Biên Province|0
Jan 21, 1954|Lockheed P-2 Neptune|Barbers Point NAS, Hawaii|8
